PATH	DURATION	TRANSCRIPT
/LibriSpeech/dev-clean/2412/153954/2412-153954-0000-norm.wav	9.915	shortly after passing one of these chapels we came suddenly upon a village which started up out of the mist and i was alarmed lest i should be made an object of curiosity or dislike
/LibriSpeech/dev-clean/2412/153954/2412-153954-0001-norm.wav	9.75	my guides however were well known and the natural politeness of the people prevented them from putting me to any inconvenience but they could not help eyeing me nor i them
/LibriSpeech/dev-clean/2412/153954/2412-153954-0002-norm.wav	4.055	the streets were narrow and unpaved but very fairly clean
/LibriSpeech/dev-clean/2412/153954/2412-153954-0003-norm.wav	8.15	the vine grew outside many of the houses and there were some with sign boards on which was painted a bottle and a glass that made me feel much at home
/LibriSpeech/dev-clean/2412/153954/2412-153954-0004-norm.wav	10.41	even on this ledge of human society there was a stunted growth of shoplets which had taken root and vegetated somehow though as in an air mercantile of the bleakest
/LibriSpeech/dev-clean/2412/153954/2412-153954-0005-norm.wav	5.845	each feature was finished eyelids eyelashes and ears being almost invariably perfect
/LibriSpeech/dev-clean/2412/153954/2412-153954-0006-norm.wav	10.22	their expression was divine and as they glanced at me timidly but with parted lips in great bewilderment i forgot all thoughts of their conversion in feelings that were far more earthly
/LibriSpeech/dev-clean/2412/153954/2412-153954-0007-norm.wav	8.43	even in middle age they were still comely and the old grey haired women at their cottage doors had a dignity not to say majesty of their own
/LibriSpeech/dev-clean/2412/153954/2412-153954-0008-norm.wav	2.735	the men were as handsome as the women beautiful
/LibriSpeech/dev-clean/2412/153954/2412-153954-0009-norm.wav	10.42	i have always delighted in and reverenced beauty but i felt simply abashed in the presence of such a splendid type a compound of all that is best in egyptian greek and italian
/LibriSpeech/dev-clean/2412/153954/2412-153954-0010-norm.wav	7.94	the children were infinite in number and exceedingly merry i need hardly say that they came in for their full share of the prevailing beauty
/LibriSpeech/dev-clean/2412/153954/2412-153954-0011-norm.wav	5.935	i expressed by signs my admiration and pleasure to my guides and they were greatly pleased
/LibriSpeech/dev-clean/2412/153954/2412-153954-0012-norm.wav	8.12	the country was highly cultivated every ledge being planted with chestnuts walnuts and apple trees from which the apples were now gathering
/LibriSpeech/dev-clean/2412/153954/2412-153954-0013-norm.wav	3.915	i saw a few sheep with rounded noses and enormous tails
/LibriSpeech/dev-clean/2412/153954/2412-153954-0014-norm.wav	17.615	in about four hours of walking from the time we started and after passing two or three more villages we came upon a considerable town and my guides made many attempts to make me understand something but i gathered no inkling of their meaning except that i need be under no apprehension of danger
/LibriSpeech/dev-clean/2412/153954/2412-153954-0015-norm.wav	11.39	suffice it that i found myself taken before the chief magistrate and by his orders was placed in an apartment with two other people who were the first i had seen looking anything but well and handsome
/LibriSpeech/dev-clean/2412/153954/2412-153954-0016-norm.wav	8.44	in fact one of them was plainly very much out of health and coughed violently from time to time in spite of manifest efforts to suppress it
/LibriSpeech/dev-clean/2412/153954/2412-153954-0017-norm.wav	6.99	the other looked pale and ill but he was marvellously self contained and it was impossible to say what was the matter with him
/LibriSpeech/dev-clean/2412/153954/2412-153954-0018-norm.wav	12.105	they felt my pulse they looked at my tongue they listened at my chest they felt all my muscles and at the end of each operation they looked at the chief and nodded and said something in a tone quite pleasant as though i were all right
/LibriSpeech/dev-clean/2412/153954/2412-153954-0019-norm.wav	7.485	but by and by they came to my watch which i had hidden away in the inmost pocket that i had and had forgotten when they began their search
/LibriSpeech/dev-clean/2412/153954/2412-153954-0020-norm.wav	7.975	again there was a very old carriage whose wheels in spite of rust and decay i could see had been designed originally for iron rails
/LibriSpeech/dev-clean/2412/153954/2412-153954-0021-norm.wav	6.11	we passed many cases and at last came to one in which there were several clocks and two or three old watches
/LibriSpeech/dev-clean/2412/153954/2412-153954-0022-norm.wav	3.54	the design was different but the thing was clearly the same
/LibriSpeech/dev-clean/2412/153954/2412-153954-0023-norm.wav	2.65	this had some effect in calming him
/LibriSpeech/dev-clean/2412/153954/2412-153954-0024-norm.wav	4.19	he began presently to relent and spoke to me in a kinder manner
/LibriSpeech/dev-clean/2412/153948/2412-153948-0000-norm.wav	11.66	if the reader will excuse me i will say nothing of my antecedents nor of the circumstances which led me to leave my native country the narrative would be tedious to him and painful to myself
